Cruciani_1,Cruciani_2,Cruciani_3,Instability_Index,Boman_Index,Hydrophobicity_Eisenberg,Hydrophobic_Moment,Aliphatic_Index,Isoelectric_Point_Lehninger,Charge_pH7.4_Lehninger,Freq_Tiny,Freq_Small,Freq_Aliphatic,Freq_Aromatic,Freq_Non_polar,Freq_Polar,Freq_Charged,Freq_Basic,Freq_Acidic,anomaly
0.1475,-0.4275,-0.1025,7.5,2.2125,0.0525,0.192931,0.0,2.995,-1.004916,0.5,0.75,0.0,0.25,0.5,0.5,0.25,0.0,0.25,-1
-0.56,-0.91,0.46,-4.1,-0.0625,0.3475,0.17191,0.0,6.015,-0.005094,1.0,1.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,-1
-0.515,0.075,0.0375,-30.075,-0.555,0.375,0.734149,25.0,10.11,0.994166,0.25,0.25,0.25,0.5,0.75,0.25,0.25,0.25,0.0,-1
-0.44,-0.1125,-0.4275,7.5,-1.9875,0.61,0.352534,292.5,3.294999,-1.004386,0.0,0.0,0.75,0.0,0.75,0.25,0.25,0.0,0.25,-1
-0.14,0.39,0.0325,98.5,2.4325,-0.11,0.788934,0.0,9.87773,0.992765,0.0,0.0,0.0,0.5,0.75,0.25,0.25,0.25,0.0,-1
0.43,0.815,0.26,293.9,6.295,-0.86,0.242,0.0,12.481402,1.99489,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1
-0.43,-0.1325,-0.3725,55.65,-1.345,0.585,0.37074,195.0,3.294999,-1.004386,0.0,0.0,0.5,0.0,0.75,0.25,0.25,0.0,0.25,-1
-0.344,-0.15,-0.032,8.0,-0.942,0.64,0.248913,136.0,7.845049,0.033193,0.2,0.4,0.4,0.4,0.6,0.4,0.2,0.2,0.0,-1
-0.04,0.008,0.17,31.44,2.542,-0.228,0.711561,78.0,9.87773,0.992765,0.2,0.4,0.2,0.2,0.6,0.4,0.2,0.2,0.0,1
-0.382,-0.178,0.008,8.0,-1.06,0.562,0.078012,78.0,5.939312,-0.007227,0.4,0.4,0.2,0.4,0.8,0.2,0.0,0.0,0.0,-1
0.186,0.172,0.382,78.9,3.324,-0.404,1.004141,78.0,11.539912,1.994157,0.2,0.2,0.2,0.2,0.4,0.6,0.4,0.4,0.0,-1
-0.588,-0.762,0.374,95.88,-0.488,0.366,0.284292,40.0,5.253376,-0.14743,1.0,1.0,0.4,0.0,0.8,0.2,0.0,0.0,0.0,-1
-0.532,-0.078,-0.404,95.88,-1.176,0.728,0.458578,98.0,3.294999,-1.004386,0.2,0.2,0.4,0.4,0.8,0.2,0.2,0.0,0.2,-1
-0.112,-0.784,0.418,-42.94,1.166,0.162,0.175964,0.0,6.015,-0.005094,1.0,1.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,-1
-0.652,0.232,-0.354,79.28,-1.658,0.686,0.47543,0.0,6.015,-0.005094,0.0,0.4,0.0,0.6,1.0,0.0,0.0,0.0,0.0,-1
-0.646,0.142,-0.254,126.64,-1.532,0.576,0.39265,0.0,6.015,-0.005094,0.0,0.4,0.0,0.4,1.0,0.0,0.0,0.0,0.0,-1
-0.562,-0.086,-0.1,-12.84,-0.942,0.526,0.489619,58.0,7.845049,0.033193,0.0,0.4,0.2,0.4,0.8,0.2,0.2,0.2,0.0,-1
-0.184,-0.256,0.012,68.06,2.572,-0.102,0.925671,156.0,6.68005,-0.004924,0.2,0.4,0.4,0.0,0.6,0.4,0.4,0.2,0.2,-1
-0.724,-0.342,0.0,85.04,-1.496,0.376,0.223943,78.0,5.105964,-0.289767,0.4,0.8,0.2,0.0,1.0,0.0,0.0,0.0,0.0,-1
-0.532,0.154,-0.028,85.04,0.42,0.18,0.545859,156.0,11.085,0.994898,0.0,0.2,0.4,0.2,0.8,0.2,0.2,0.2,0.0,-1
-0.652,-0.56,0.19,-25.96,-1.314,0.554,0.071427,78.0,6.015,-0.005094,0.6,0.8,0.4,0.0,0.8,0.2,0.0,0.0,0.0,-1
-0.562,-0.086,-0.1,-12.84,-0.942,0.526,0.489619,58.0,7.845049,0.033193,0.0,0.4,0.2,0.4,0.8,0.2,0.2,0.2,0.0,-1
-0.532,-0.224,-0.398,-37.14,-0.618,0.636,0.452477,78.0,2.995,-1.004916,0.2,0.6,0.4,0.4,0.8,0.2,0.2,0.0,0.2,-1
-0.908,-0.44,0.056,85.04,-1.682,0.634,0.278206,60.0,6.015,-0.005094,0.6,0.8,0.6,0.2,1.0,0.0,0.0,0.0,0.0,-1
-0.216,0.432,-0.084,15.7,-1.79,0.448,0.510094,156.0,10.11,0.994166,0.0,0.0,0.4,0.4,0.8,0.2,0.2,0.2,0.0,-1
-0.36,-0.46,0.124,36.62,0.078,0.28,0.197244,0.0,6.015,-0.005094,0.6,0.6,0.0,0.2,0.8,0.2,0.0,0.0,0.0,-1
0.172,-0.03,-0.118,-24.06,0.694,0.2,0.236518,78.0,5.883294,-0.009361,0.2,0.2,0.2,0.4,0.6,0.4,0.0,0.0,0.0,-1
-0.636,-0.222,-0.088,-8.98,-1.674,0.778,0.217563,58.0,6.015,-0.005094,0.4,0.6,0.2,0.4,0.8,0.2,0.0,0.0,0.0,-1
-0.646,0.142,-0.254,126.64,-1.532,0.576,0.39265,0.0,6.015,-0.005094,0.0,0.4,0.0,0.4,1.0,0.0,0.0,0.0,0.0,-1
-0.568,-0.294,0.322,32.68,0.64,0.238,0.263452,156.0,11.085,0.994898,0.4,0.4,0.4,0.0,0.8,0.2,0.2,0.2,0.0,-1
-0.294,0.028,-0.436,79.28,0.3,0.3,0.283563,0.0,3.294999,-1.004386,0.0,0.4,0.0,0.4,0.8,0.2,0.2,0.0,0.2,-1
-0.258,-0.202,-0.108,134.4,0.722,0.184,0.116661,0.0,6.015,-0.005094,0.2,0.4,0.0,0.2,0.6,0.4,0.0,0.0,0.0,-1
0.084,0.446,0.164,15.7,0.304,-0.064,0.775482,78.0,10.621395,1.993425,0.0,0.0,0.2,0.4,0.6,0.4,0.4,0.4,0.0,-1
-0.652,0.232,-0.354,79.28,-1.658,0.686,0.47543,0.0,6.015,-0.005094,0.0,0.4,0.0,0.6,1.0,0.0,0.0,0.0,0.0,-1
-0.26,-0.054,-0.392,95.88,-0.3,0.594,0.478749,78.0,3.294999,-1.004386,0.2,0.2,0.2,0.4,0.6,0.4,0.2,0.0,0.2,-1
-0.344,-0.15,-0.032,8.0,-0.942,0.64,0.248913,136.0,7.845049,0.033193,0.2,0.4,0.4,0.4,0.6,0.4,0.2,0.2,0.0,-1
0.024,0.422,0.204,-7.08,4.416,-0.446,1.007197,78.0,11.1983,1.992756,0.0,0.0,0.2,0.4,0.6,0.4,0.4,0.4,0.0,-1
-0.662,0.142,-0.286,103.96,-2.046,0.66,0.454824,78.0,6.015,-0.005094,0.0,0.4,0.2,0.4,1.0,0.0,0.0,0.0,0.0,-1
-0.294,0.028,-0.436,79.28,0.3,0.3,0.283563,0.0,3.294999,-1.004386,0.0,0.4,0.0,0.4,0.8,0.2,0.2,0.0,0.2,-1
-0.662,0.142,-0.286,103.96,-2.046,0.66,0.454824,78.0,6.015,-0.005094,0.0,0.4,0.2,0.4,1.0,0.0,0.0,0.0,0.0,-1
-0.392,-0.56,0.246,46.52,-0.28,0.396,0.15865,78.0,6.015,-0.005094,0.6,0.8,0.4,0.0,0.6,0.4,0.0,0.0,0.0,-1
0.273333,0.788333,0.018333,103.8,1.858333,-0.131667,0.788925,0.0,11.539912,1.994157,0.0,0.0,0.0,0.666667,0.666667,0.333333,0.333333,0.333333,0.0,-1
0.211667,0.551667,0.245,8.333333,3.063333,-0.453333,0.068986,0.0,11.689594,2.993416,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1
0.166667,-0.376667,0.078333,-21.516667,2.598333,-0.138333,0.20588,65.0,7.845049,0.033193,0.166667,0.666667,0.166667,0.166667,0.333333,0.666667,0.166667,0.166667,0.0,-1
0.43,0.815,0.26,294.733333,6.295,-0.86,0.40851,0.0,12.781557,2.994881,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1
0.24,0.665,-0.086667,78.75,1.361667,0.11,0.726471,0.0,11.085,0.994898,0.166667,0.166667,0.0,0.666667,0.666667,0.333333,0.166667,0.166667,0.0,-1
-0.176667,0.16,0.19,23.066667,2.203333,-0.32,0.71283,65.0,11.539912,1.994157,0.0,0.333333,0.166667,0.166667,0.666667,0.333333,0.333333,0.333333,0.0,-1
0.051667,-0.101667,-0.525,-10.616667,1.456667,0.17,0.495505,48.333333,2.810538,-2.004738,0.0,0.666667,0.166667,0.333333,0.666667,0.333333,0.333333,0.0,0.333333,-1
-0.891667,-0.271667,-0.095,8.333333,-2.125,0.78,0.116998,65.0,6.015,-0.005094,0.333333,0.666667,0.333333,0.333333,1.0,0.0,0.0,0.0,0.0,-1
0.178333,0.428333,0.14,-16.716667,2.566667,-0.211667,0.293326,0.0,11.539912,1.994157,0.166667,0.166667,0.0,0.5,0.5,0.5,0.333333,0.333333,0.0,-1
0.421667,0.041667,-0.088333,-9.033333,5.293333,-0.763333,0.722848,0.0,7.092401,-0.004428,0.0,0.166667,0.0,0.166667,0.333333,0.666667,0.666667,0.333333,0.333333,-1
-0.573333,-0.528333,-0.161667,8.333333,-0.196667,0.38,0.431061,113.333333,2.995,-1.004916,0.166667,0.833333,0.333333,0.0,0.833333,0.166667,0.166667,0.0,0.166667,-1
0.421667,0.041667,-0.088333,-9.033333,5.293333,-0.763333,0.722848,0.0,7.092401,-0.004428,0.0,0.166667,0.0,0.166667,0.333333,0.666667,0.666667,0.333333,0.333333,-1
0.278333,0.728333,0.241667,199.266667,6.186667,-0.796667,1.140348,0.0,12.781557,2.994881,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1
-0.301667,0.083333,-0.04,-30.866667,1.946667,0.123333,0.687397,0.0,11.085,0.994898,0.166667,0.333333,0.0,0.5,0.666667,0.333333,0.166667,0.166667,0.0,-1
-0.773333,-0.03,-0.16,-30.866667,-3.823333,1.001667,0.094768,260.0,6.015,-0.005094,0.166667,0.333333,0.833333,0.166667,1.0,0.0,0.0,0.0,0.0,-1
0.115,0.136667,0.036667,-9.033333,3.338333,-0.463333,0.903647,65.0,10.105428,0.994865,0.0,0.166667,0.166667,0.166667,0.5,0.5,0.5,0.333333,0.166667,-1
0.361667,0.535,0.331667,83.616667,7.01,-0.98,1.040787,0.0,11.2267,2.990615,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1
-0.038333,0.54,0.038333,28.9,1.318333,-0.026667,0.434776,65.0,11.539912,1.994157,0.0,0.0,0.166667,0.5,0.666667,0.333333,0.333333,0.333333,0.0,-1
0.106667,0.613333,0.066667,103.8,1.426667,-0.036667,0.474477,65.0,11.539912,1.994157,0.0,0.0,0.166667,0.5,0.666667,0.333333,0.333333,0.333333,0.0,-1
-0.668333,-0.245,-0.018333,62.666667,-1.606667,0.598333,0.104426,65.0,5.939312,-0.007227,0.333333,0.5,0.166667,0.333333,1.0,0.0,0.0,0.0,0.0,-1
0.223333,0.516667,0.14,30.516667,2.915,-0.27,0.490354,0.0,11.539919,2.032444,0.0,0.0,0.0,0.666667,0.5,0.5,0.5,0.5,0.0,-1
0.178333,0.463333,0.246667,8.333333,1.501667,-0.281667,0.753101,0.0,10.871898,2.992684,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1
-0.726667,0.105,-0.253333,79.9,-2.77,0.87,0.311834,113.333333,6.015,-0.005094,0.0,0.333333,0.333333,0.333333,1.0,0.0,0.0,0.0,0.0,-1
-0.408333,-0.681667,0.36,87.983333,0.728333,0.186667,0.059387,16.666667,7.845049,0.033193,0.666667,0.833333,0.166667,0.166667,0.666667,0.333333,0.166667,0.166667,0.0,-1
0.346667,-0.488333,0.143333,69.0,3.316667,-0.285,0.288412,16.666667,7.845049,0.033193,0.5,0.5,0.166667,0.166667,0.166667,0.833333,0.166667,0.166667,0.0,-1
-0.191667,0.231667,0.161667,35.233333,1.383333,-0.163333,0.869452,130.0,11.539912,1.994157,0.0,0.166667,0.333333,0.166667,0.666667,0.333333,0.333333,0.333333,0.0,-1
-0.005,-0.436667,0.121667,-43.433333,1.011667,0.18,0.304216,65.0,5.939312,-0.007227,0.5,0.833333,0.333333,0.166667,0.5,0.5,0.0,0.0,0.0,-1
-0.223333,-0.578333,0.131667,-30.866667,0.315,0.316667,0.405678,113.333333,6.015,-0.005094,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,-1
-0.143333,-0.205,-0.021667,24.733333,0.961667,0.023333,0.283832,81.666667,6.875643,-0.00726,0.166667,0.333333,0.333333,0.166667,0.666667,0.333333,0.333333,0.166667,0.166667,1
0.43,0.815,0.26,199.266667,6.295,-0.86,0.76284,0.0,12.781557,2.994881,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1
-0.726667,0.105,-0.253333,79.9,-2.77,0.87,0.311834,113.333333,6.015,-0.005094,0.0,0.333333,0.333333,0.333333,1.0,0.0,0.0,0.0,0.0,-1
-0.658333,-0.356667,0.031667,69.0,-1.151667,0.555,0.176052,48.333333,6.015,-0.005094,0.333333,0.666667,0.166667,0.166667,0.833333,0.166667,0.0,0.0,0.0,-1
0.278333,0.728333,0.241667,199.266667,6.186667,-0.796667,0.819007,0.0,12.781557,2.994881,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1
0.663333,-0.62,-0.87,40.433333,5.81,-0.52,0.406848,65.0,2.655895,-5.003145,0.0,0.5,0.166667,0.0,0.166667,0.833333,0.833333,0.0,0.833333,-1
-0.301667,-0.32,0.148333,23.15,-0.21,0.456667,0.390068,16.666667,6.015,-0.005094,0.666667,0.666667,0.166667,0.333333,0.666667,0.333333,0.0,0.0,0.0,-1
-0.718333,0.046667,-0.261667,53.583333,-2.378333,0.73,0.276136,113.333333,6.015,-0.005094,0.0,0.5,0.333333,0.333333,1.0,0.0,0.0,0.0,0.0,-1
-0.713333,-0.136667,-0.09,67.733333,-2.185,0.661667,0.350004,130.0,6.015,-0.005094,0.166667,0.5,0.333333,0.166667,1.0,0.0,0.0,0.0,0.0,-1
-0.176667,0.16,0.19,23.066667,2.203333,-0.32,0.71283,65.0,11.539912,1.994157,0.0,0.333333,0.166667,0.166667,0.666667,0.333333,0.333333,0.333333,0.0,-1
0.051667,-0.101667,-0.525,-10.616667,1.456667,0.17,0.495505,48.333333,2.810538,-2.004738,0.0,0.666667,0.166667,0.333333,0.666667,0.333333,0.333333,0.0,0.333333,-1
-0.23,-0.533333,0.065,-18.383333,0.131667,0.305,0.412462,113.333333,6.015,-0.005094,0.5,0.833333,0.5,0.0,0.5,0.5,0.0,0.0,0.0,-1
-0.036667,0.201667,0.438333,27.866667,6.661667,-0.943333,0.515396,16.666667,12.781557,2.994881,0.166667,0.333333,0.166667,0.166667,0.5,0.5,0.5,0.5,0.0,-1
-0.713333,-0.136667,-0.09,67.733333,-2.185,0.661667,0.350004,130.0,6.015,-0.005094,0.166667,0.5,0.333333,0.166667,1.0,0.0,0.0,0.0,0.0,-1
-0.011667,-0.391667,0.055,-30.95,0.828333,0.168333,0.308384,65.0,5.939312,-0.007227,0.5,0.666667,0.333333,0.166667,0.5,0.5,0.0,0.0,0.0,-1
-0.061667,0.141667,0.501667,103.8,6.36,-0.86,1.105548,33.333333,12.781557,2.994881,0.333333,0.333333,0.333333,0.166667,0.5,0.5,0.5,0.5,0.0,-1
0.278333,0.728333,0.241667,199.266667,6.186667,-0.796667,0.725018,0.0,12.781557,2.994881,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1
0.115,0.136667,0.036667,-9.033333,3.338333,-0.463333,0.903647,65.0,10.105428,0.994865,0.0,0.166667,0.166667,0.166667,0.5,0.5,0.5,0.333333,0.166667,-1
0.33,0.55,0.265,8.333333,1.61,-0.345,0.267377,0.0,10.871898,2.992684,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1
-0.033333,0.491667,-0.056667,124.366667,1.17,0.21,0.667304,65.0,11.085048,1.033184,0.0,0.0,0.166667,0.666667,0.666667,0.333333,0.333333,0.333333,0.0,-1
-0.718333,0.046667,-0.261667,53.583333,-2.378333,0.73,0.276136,113.333333,6.015,-0.005094,0.0,0.5,0.333333,0.333333,1.0,0.0,0.0,0.0,0.0,-1
-0.886667,-0.346667,-0.011667,13.716667,-2.02,0.688333,0.269494,65.0,6.015,-0.005094,0.333333,0.666667,0.333333,0.166667,1.0,0.0,0.0,0.0,0.0,-1
-0.331429,-0.037143,-0.215714,59.757143,-0.88,0.48,0.396522,97.142857,6.015,-0.005094,0.142857,0.428571,0.285714,0.285714,0.714286,0.285714,0.0,0.0,0.0,-1
-0.297143,-0.094286,0.337143,-31.928571,-0.181429,0.06,0.820294,194.285714,10.871898,2.992684,0.0,0.285714,0.571429,0.0,0.571429,0.428571,0.428571,0.428571,0.0,-1
-0.201429,-0.001429,-0.258571,71.342857,0.131429,0.355714,0.35343,55.714286,4.836672,-0.968763,0.0,0.142857,0.142857,0.428571,0.714286,0.285714,0.285714,0.142857,0.142857,-1
-0.188571,-0.521429,0.1,15.428571,1.017143,0.041429,0.313082,0.0,5.250673,-0.149564,0.571429,0.571429,0.0,0.142857,0.714286,0.285714,0.0,0.0,0.0,-1
-0.644286,-0.075714,-0.23,-12.9,-1.742857,0.772857,0.309675,97.142857,6.015,-0.005094,0.142857,0.428571,0.285714,0.428571,0.857143,0.142857,0.0,0.0,0.0,-1
-0.257143,-0.074286,0.044286,0.342857,1.752857,-0.067143,0.35022,55.714286,11.085,0.994898,0.142857,0.428571,0.142857,0.142857,0.714286,0.285714,0.142857,0.142857,0.0,1
-0.352857,-0.491429,-0.182857,59.485714,1.2,0.067143,0.049233,55.714286,2.995,-1.004916,0.142857,0.714286,0.142857,0.0,0.714286,0.285714,0.142857,0.0,0.142857,-1
-0.208571,-0.274286,-0.328571,77.657143,0.301429,0.325714,0.045763,125.714286,3.127458,-2.005812,0.142857,0.285714,0.428571,0.142857,0.714286,0.285714,0.285714,0.0,0.285714,-1
-0.475714,-0.098571,0.184286,-15.685714,-0.957143,0.267143,0.403862,152.857143,10.621395,1.993425,0.142857,0.285714,0.428571,0.142857,0.714286,0.285714,0.285714,0.285714,0.0,-1
0.215714,-0.661429,0.055714,51.471429,3.172857,-0.214286,0.272088,14.285714,3.294999,-1.004386,0.571429,0.714286,0.142857,0.0,0.285714,0.714286,0.142857,0.0,0.142857,-1
-0.352857,-0.237143,0.045714,75.414286,-0.292857,0.392857,0.080156,14.285714,5.883294,-0.009361,0.428571,0.571429,0.142857,0.428571,0.857143,0.142857,0.0,0.0,0.0,-1
-0.75,-0.198571,-0.158571,-3.557143,-3.195714,0.928571,0.153346,235.714286,6.015,-0.005094,0.142857,0.571429,0.714286,0.142857,0.857143,0.142857,0.0,0.0,0.0,-1
-0.22,-0.118571,-0.087143,112.028571,0.46,0.175714,0.389415,55.714286,6.583513,-0.00779,0.142857,0.285714,0.142857,0.285714,0.714286,0.285714,0.285714,0.142857,0.142857,-1
0.074286,0.075714,-0.045714,8.571429,3.291429,-0.255714,0.57857,55.714286,10.105428,0.994865,0.0,0.142857,0.142857,0.285714,0.428571,0.571429,0.428571,0.285714,0.142857,-1
0.064286,0.124286,-0.084286,71.342857,2.011429,-0.015714,0.435688,41.428571,6.972312,-0.004395,0.142857,0.285714,0.142857,0.285714,0.571429,0.428571,0.285714,0.142857,0.142857,-1
-0.355714,-0.095714,-0.141429,63.6,1.688571,0.087143,0.731064,55.714286,6.68005,-0.004924,0.142857,0.428571,0.142857,0.285714,0.714286,0.285714,0.285714,0.142857,0.142857,-1
-0.197143,0.327143,0.048571,31.7,-1.188571,0.257143,0.682388,167.142857,10.621395,1.993425,0.0,0.0,0.428571,0.285714,0.714286,0.285714,0.285714,0.285714,0.0,-1
-0.245714,-0.048571,0.301429,66.071429,1.914286,-0.14,0.57878,0.0,10.434589,1.992024,0.285714,0.285714,0.0,0.285714,0.714286,0.285714,0.285714,0.285714,0.0,-1
-0.375714,-0.141429,0.364286,117.914286,2.281429,-0.175714,0.545477,125.714286,10.935565,1.852553,0.428571,0.428571,0.428571,0.0,0.714286,0.285714,0.285714,0.285714,0.0,-1
-0.45,-0.252857,-0.182857,69.914286,-0.528571,0.427143,0.109561,70.0,3.294999,-1.00652,0.285714,0.428571,0.285714,0.285714,0.857143,0.142857,0.142857,0.0,0.142857,-1
-0.208571,-0.281429,-0.154286,-30.571429,0.27,0.192857,0.416725,194.285714,6.651037,-0.005657,0.0,0.428571,0.571429,0.0,0.571429,0.428571,0.285714,0.142857,0.142857,-1
-0.227143,0.044286,-0.112857,71.342857,-0.165714,0.372857,0.340327,55.714286,7.767848,0.031059,0.0,0.142857,0.142857,0.428571,0.714286,0.285714,0.142857,0.142857,0.0,-1
-0.208571,-0.274286,-0.328571,77.657143,0.301429,0.325714,0.045763,125.714286,3.127458,-2.005812,0.142857,0.285714,0.428571,0.142857,0.714286,0.285714,0.285714,0.0,0.285714,-1
-0.011429,-0.264286,0.048571,-26.457143,2.927143,-0.222857,0.293566,55.714286,6.604387,-0.007058,0.285714,0.571429,0.142857,0.142857,0.571429,0.428571,0.285714,0.142857,0.142857,1
0.117143,0.112857,-0.057143,21.471429,4.902857,-0.471429,0.863032,55.714286,10.928302,0.995067,0.0,0.285714,0.142857,0.285714,0.428571,0.571429,0.428571,0.285714,0.142857,-1
-0.247143,0.148571,-0.117143,104.628571,1.461429,-0.011429,0.294788,55.714286,11.085,0.994898,0.0,0.285714,0.142857,0.285714,0.714286,0.285714,0.142857,0.142857,0.0,-1
-0.38,-0.248571,-0.441429,8.571429,-1.17,0.525714,0.51074,264.285714,2.928411,-2.004208,0.0,0.285714,0.714286,0.0,0.714286,0.285714,0.285714,0.0,0.285714,-1
0.147143,-0.027143,0.224286,180.685714,3.868571,-0.572857,0.245313,0.0,11.539912,1.994157,0.142857,0.428571,0.0,0.142857,0.428571,0.571429,0.285714,0.285714,0.0,-1
0.072857,0.062857,0.111429,26.2,0.855714,0.144286,0.443721,55.714286,9.563519,1.028185,0.142857,0.142857,0.142857,0.571429,0.571429,0.428571,0.285714,0.285714,0.0,-1
0.731429,-0.905714,-0.787143,8.571429,7.34,-0.702857,0.213214,0.0,2.508644,-6.004027,0.142857,1.0,0.0,0.0,0.142857,0.857143,0.857143,0.0,0.857143,-1
-0.188571,-0.328571,-0.007143,-2.2,0.491429,0.112857,0.366999,14.285714,5.105964,-0.289767,0.571429,0.571429,0.142857,0.142857,0.714286,0.285714,0.0,0.0,0.0,-1
0.035714,0.048571,-0.082857,71.342857,0.672857,0.131429,0.290223,41.428571,6.943251,-0.005127,0.142857,0.285714,0.142857,0.285714,0.571429,0.428571,0.285714,0.142857,0.142857,-1
-0.257143,0.06,0.291429,-39.942857,-0.432857,-0.037143,0.801924,222.857143,10.871898,2.992684,0.0,0.0,0.571429,0.0,0.571429,0.428571,0.428571,0.428571,0.0,-1
1.0,-0.89,-1.0,8.571429,8.72,-0.9,0.029145,0.0,2.464581,-7.003849,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-1
-0.467143,-0.257143,-0.038571,38.285714,-0.552857,0.421429,0.114667,70.0,5.939312,-0.007227,0.285714,0.571429,0.285714,0.285714,0.857143,0.142857,0.0,0.0,0.0,-1
0.224286,0.144286,0.05,36.085714,3.454286,-0.38,0.40114,55.714286,9.748387,1.031018,0.0,0.0,0.142857,0.428571,0.428571,0.571429,0.571429,0.428571,0.142857,-1
-0.471429,-0.304286,-0.128571,42.4,-0.787143,0.498571,0.11154,84.285714,3.294999,-1.00652,0.428571,0.428571,0.428571,0.285714,0.857143,0.142857,0.142857,0.0,0.142857,-1
0.071429,-0.068571,-0.122857,-34.442857,3.505714,-0.177143,0.717801,0.0,6.68005,-0.004924,0.142857,0.428571,0.0,0.285714,0.428571,0.571429,0.285714,0.142857,0.142857,-1
-0.51,-0.014286,-0.27,55.371429,-1.247143,0.55,0.388406,97.142857,6.015,-0.005094,0.0,0.428571,0.285714,0.285714,0.857143,0.142857,0.0,0.0,0.0,-1
-0.245714,-0.167143,0.075714,71.342857,1.444286,0.055714,0.749949,111.428571,11.085,0.994898,0.285714,0.428571,0.428571,0.142857,0.571429,0.428571,0.142857,0.142857,0.0,1
-0.441429,-0.302857,-0.184286,42.4,-0.255714,0.404286,0.130289,70.0,2.995,-1.007049,0.285714,0.571429,0.285714,0.285714,0.857143,0.142857,0.142857,0.0,0.142857,-1
0.144286,-0.302857,-0.064286,36.085714,2.224286,-0.044286,0.233774,0.0,3.294999,-1.004386,0.285714,0.571429,0.0,0.142857,0.428571,0.571429,0.142857,0.0,0.142857,-1
0.051429,-0.457143,0.157143,-38.585714,3.964286,-0.36,0.333603,14.285714,6.68005,-0.004924,0.428571,0.714286,0.142857,0.0,0.428571,0.571429,0.285714,0.142857,0.142857,-1
